"College","Course","Category","Predicted_Rank_2025"
"Chandulal Chandrakar Memorial Government Medical College","MBBS","GN",29856.43
"Chandulal Chandrakar Memorial Government Medical College","MBBS","OBC",40472.635
"Chandulal Chandrakar Memorial Government Medical College","MBBS","OBC PWD",784353.105
"Chandulal Chandrakar Memorial Government Medical College","MBBS","SC",135668.565
"Chandulal Chandrakar Memorial Government Medical College","MBBS","ST",142272.81
"Chettinad Hos. and Res. Inst.","MBBS","EWS",546225.29
"Chettinad Hos. and Res. Inst.","MBBS","GN",719382.45
"Chettinad Hos. and Res. Inst.","MBBS","OBC",744561.06
"Chettinad Hos. and Res. Inst.","MBBS","SC",669663.76
"Chettinad Hos. and Res. Inst.","MBBS","ST",486001.035
"Chhindwara Institute of Medical Sciences","MBBS","EWS",149314.21
"Chhindwara Institute of Medical Sciences","MBBS","GN",64679.585
"Chhindwara Institute of Medical Sciences","MBBS","OBC",261326.295
"Chhindwara Institute of Medical Sciences","MBBS","SC",228326.835
"Chhindwara Institute of Medical Sciences","MBBS","ST",184989.265
"Chikkamagaluru Institute of Medical Sciences","MBBS","EWS",35524.645
"Chikkamagaluru Institute of Medical Sciences","MBBS","GN",19104.965
"Chikkamagaluru Institute of Medical Sciences","MBBS","GN PWD",741066.99
"Chikkamagaluru Institute of Medical Sciences","MBBS","OBC",33329.755
"Chikkamagaluru Institute of Medical Sciences","MBBS","SC",143871.475
"Chikkamagaluru Institute of Medical Sciences","MBBS","SC PWD",1009298.76
"Chikkamagaluru Institute of Medical Sciences","MBBS","ST",123936.165
"Chitradurga Medical College and Research Institute","MBBS","EWS",24306.09
"Chitradurga Medical College and Research Institute","MBBS","GN",20123.365
"Chitradurga Medical College and Research Institute","MBBS","OBC",21738.15
"Chitradurga Medical College and Research Institute","MBBS","SC",135786.85
"Chitradurga Medical College and Research Institute","MBBS","ST",94567.6
"College Government Medical College Alwar","MBBS","EWS",16033.815
"College Government Medical College Alwar","MBBS","GN",13753.56
"College Government Medical College Alwar","MBBS","OBC",16548.825
"College Government Medical College Alwar","MBBS","SC",118699.185
"College Government Medical College Alwar","MBBS","ST",76510.755
"College of Nursing Ahilya Bai College of Nursing","B.Sc. Nursing","EWS",139944.99
"College of Nursing Ahilya Bai College of Nursing","B.Sc. Nursing","GN",103959.225
"College of Nursing Ahilya Bai College of Nursing","B.Sc. Nursing","OBC",161921.19
"College of Nursing Ahilya Bai College of Nursing","B.Sc. Nursing","SC",231617.06
"College of Nursing Ahilya Bai College of Nursing","B.Sc. Nursing","ST",379186.15
"College of Nursing BHU","B.Sc. Nursing","EWS",65982.43
"College of Nursing BHU","B.Sc. Nursing","GN",54191.105
"College of Nursing BHU","B.Sc. Nursing","OBC",64037.96
"College of Nursing BHU","B.Sc. Nursing","SC",210604.235
"College of Nursing BHU","B.Sc. Nursing","ST",283468.835
"College of Nursing Dr. RML Hospital","B.Sc. Nursing","EWS",75317.58
"College of Nursing Dr. RML Hospital","B.Sc. Nursing","GN",65493.295
"College of Nursing Dr. RML Hospital","B.Sc. Nursing","OBC",94867.48
"College of Nursing Dr. RML Hospital","B.Sc. Nursing","SC",217681.91
"College of Nursing Dr. RML Hospital","B.Sc. Nursing","ST",297968.05
"College of Nursing Florence Nightingale CON","B.Sc. Nursing","EWS",187338.945
"College of Nursing Florence Nightingale CON","B.Sc. Nursing","GN",154132.11
"College of Nursing Florence Nightingale CON","B.Sc. Nursing","OBC",187742.365
"College of Nursing Florence Nightingale CON","B.Sc. Nursing","SC",262252.885
"College of Nursing Florence Nightingale CON","B.Sc. Nursing","ST",452381.605
"College of Nursing LHMC","B.Sc. Nursing","EWS",87541.69
"College of Nursing LHMC","B.Sc. Nursing","GN",82255.83
"College of Nursing LHMC","B.Sc. Nursing","OBC",104813.88
"College of Nursing LHMC","B.Sc. Nursing","SC",222536.47
"College of Nursing LHMC","B.Sc. Nursing","ST",307221.445
"College of Nursing RAK CON","B.Sc. Nursing","EWS",116760.995
"College of Nursing RAK CON","B.Sc. Nursing","GN",105069.84
"College of Nursing RAK CON","B.Sc. Nursing","OBC",116290.715
"College of Nursing RAK CON","B.Sc. Nursing","SC",234552.575
"College of Nursing RAK CON","B.Sc. Nursing","ST",309339.545
"College of Nursing Safdarjung Hospital","B.Sc. Nursing","EWS",104915.535
"College of Nursing Safdarjung Hospital","B.Sc. Nursing","GN",78290.445
"College of Nursing Safdarjung Hospital","B.Sc. Nursing","OBC",147963.275
"College of Nursing Safdarjung Hospital","B.Sc. Nursing","SC",223341.59
"College of Nursing Safdarjung Hospital","B.Sc. Nursing","ST",313541.83
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR","MBBS","EWS",617330.565
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR","MBBS","GN",689578.045
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR","MBBS","OBC",603447.5
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR","MBBS","SC",707867.95
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR","MBBS","ST",387052.245
"DC","BDS","EWS",28733.515
"DC","BDS","OBC",45159.12
"DC","BDS","SC",136630.25
"DR. R. AHMED DENT.COLL & HOSP","BDS","EWS",32416.23
"DR. R. AHMED DENT.COLL & HOSP","BDS","GN",30675.03
"DR. R. AHMED DENT.COLL & HOSP","BDS","OBC",54400.555
"DR. R. AHMED DENT.COLL & HOSP","BDS","OBC PWD",999511.45
"DR. R. AHMED DENT.COLL & HOSP","BDS","SC",141433.25
"DR. R. AHMED DENT.COLL & HOSP","BDS","ST",174781.29
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","EWS",11215.77
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","GN",8898.63
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","OBC",11388.375
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","OBC PWD",525517.945
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","SC",62765.205
"DR. VAISHAMPAYAM MEMORIAL M.C.","MBBS","ST",91890.05
"DR.RAJENDRA PRASAD MC","MBBS","EWS",6741.94
"DR.RAJENDRA PRASAD MC","MBBS","GN",5161.915
"DR.RAJENDRA PRASAD MC","MBBS","GN PWD",339455.245
