College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
Autonomous State Medical College,MBBS,SC,,52624.0,69106.0,72782.0,72782.0
Autonomous State Medical College,MBBS,SC PWD,,869844.0,,1057792.0,1057792.0
Autonomous State Medical College,MBBS,ST,,84723.0,96058.0,101873.0,101873.0
Autonomous State Medical College,MBBS,ST PWD,,,,1043751.0,1043751.0
Autonomous State Medical College Society,MBBS,EWS,,12427.0,13627.0,14577.0,14577.0
Autonomous State Medical College Society,MBBS,GN,,11828.0,12620.0,13014.0,13014.0
Autonomous State Medical College Society,MBBS,GN PWD,,,610456.0,,
Autonomous State Medical College Society,MBBS,OBC,,13098.0,14009.0,15012.0,15012.0
Autonomous State Medical College Society,MBBS,SC,,65476.0,73763.0,85318.0,85318.0
Autonomous State Medical College Society,MBBS,ST,,92769.0,109633.0,103534.0,103534.0
Autonomous State Medical college Society Hardoi,MBBS,EWS,,12371.0,,14504.0,14504.0
Autonomous State Medical college Society Hardoi,MBBS,EWS PWD,,,779975.0,,
Autonomous State Medical college Society Hardoi,MBBS,GN,,11783.0,11377.0,12321.0,12321.0
Autonomous State Medical college Society Hardoi,MBBS,GN PWD,,,,608295.0,608295.0
Autonomous State Medical college Society Hardoi,MBBS,OBC,,12685.0,12666.0,13512.0,13512.0
Autonomous State Medical college Society Hardoi,MBBS,SC,,64213.0,68885.0,84642.0,84642.0
Autonomous State Medical college Society Hardoi,MBBS,SC PWD,,,562746.0,,
Autonomous State Medical college Society Hardoi,MBBS,ST,,89740.0,,117237.0,117237.0
B.J. Government Medical College,MBBS,EWS,,,,5164.0,5164.0
B.J. Government Medical College,MBBS,GN,,,,2379.0,2379.0
B.J. Government Medical College,MBBS,OBC,,,,4598.0,4598.0
B.J. Government Medical College,MBBS,OBC PWD,,,,308810.0,308810.0
B.J. Government Medical College,MBBS,SC,,,,28594.0,28594.0
B.J. Government Medical College,MBBS,SC PWD,,,,88680.0,88680.0
B.J. Government Medical College,MBBS,ST,,,,72444.0,72444.0
B.J. MEDICAL COLLEGE,MBBS,EWS,,1230.0,1579.0,2416.0,2416.0
